Borough,Neighborhood,Lat,Lng,ID,Name,Likes,Rating,Tips
Manhattan,Upper West Side,40.79096472529555,-73.97449103418757,52cc3c60498e9ec88e3334d2,By the Way Bakery,47,8.5,29
Manhattan,Lincoln Square,40.7710295,-73.98180789999999,56ba9f99498ef6f5b55a33dc,Breads Bakery - Lincoln Center,159,9.2,38
Manhattan,Lincoln Square,40.77563667082563,-73.9801535759707,4a271f0bf964a5205b911fe3,Magnolia Bakery,667,9.0,273
Manhattan,Clinton,40.76007,-73.990815,4fab5090e4b0eeffb5c77119,Schmackary's,902,9.1,276
Manhattan,Midtown,40.75465936717608,-73.98416404927498,5581f0a3498ebf2e88c9f849,Breads Bakery - Bryant Park Kiosk,45,8.6,8
Manhattan,Midtown,40.752361229901794,-73.98262560367584,527e819a11d281648dd93142,Maison Kayser,456,9.1,84
Manhattan,Midtown,40.752818400311845,-73.98358047008514,51deeb27498e0bcc94b6538c,Lady M Cake Boutique,416,8.6,103
Manhattan,Murray Hill,40.744996830649896,-73.97867463901457,4edeade7775bb52b6cfe02b9,Insomnia Cookies,100,8.4,26
Manhattan,Chelsea,40.741865156976445,-74.00504632202929,4a284b61f964a52007951fe3,Fat Witch Bakery,144,8.6,67
Manhattan,Chelsea,40.7420846303374,-74.00559436109354,4a33b48ff964a520379b1fe3,Amy's Bread,198,8.6,107
Manhattan,Chelsea,40.74390335885238,-74.00650876382586,5a3023507247505942681e9e,Frankie Portugal,15,8.2,1
Manhattan,Chelsea,40.74075387324832,-74.0015083960489,4cd1d42cde0f6dcb316e7363,Empire Cake,232,9.0,122
Manhattan,Greenwich Village,40.72596815291517,-74.00125390305723,4b4c863cf964a52026b526e3,Birdbath Neighborhood Green Bakery,264,8.8,149
Manhattan,Greenwich Village,40.7251633496652,-74.00297583591562,4eb13d68e5e8c0f5bd2fd983,Dominique Ansel Bakery,2372,9.0,714
Manhattan,Greenwich Village,40.729065155940916,-73.99800068633789,4dd00c6d88778512441f5018,Mille-Feuille Bakery,168,8.5,95
Manhattan,East Village,40.72952615888893,-73.984342280321,3fd66200f964a5208be41ee3,Veniero’s Pasticceria & Caffe,897,9.2,301
