Borough,Neighborhood,N_Lat,N_Lng,ID,Name,Category,Lat,Lng
Bronx,Eastchester,40.887555677350775,-73.82780644716412,575978e3498e2922f0f0823f,MTA New York City Bus/Bee Line - Bx16/Bx30/W60/W61/W62 (Pelham/Co-op City/White Plains/Port Chester) @ Boston Road and Conner Street,Bus Stop,40.88594,-73.82787
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4cfcde2a7945224b105d8de7,4 Star Auto Glass,Automotive Shop,40.8860464,-73.826613
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4dd8039c1838b8561cf60dec,Imperial beverage center,Food & Drink Shop,40.889146992600836,-73.82929692582755
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4dbf84a24df0f8fd6b88c9b6,Royal Caribbean Bakery,Caribbean Restaurant,40.888251933965,-73.83145707477787
Bronx,Eastchester,40.887555677350775,-73.82780644716412,51a3a39d498e1de15c43a064,NYW&B Railway - Baychester,Platform,40.887882155187874,-73.83116319314648
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4e1638e145ddc623eb07573a,MTA Bus - BX 16,Bus Station,40.88790343813609,-73.83125388185631
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4ed4c718a17c52bf7f34bd97,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",Bus Station,40.88800860085501,-73.83133279875986
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4c42562fe26920a1e8f65fe7,MTA Subway - Eastchester/Dyre Ave (5),Metro Station,40.88798538407525,-73.83138309969671
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4deaefa688774880e32afe64,Adil Newsstand & Grocery,Convenience Store,40.888433208510854,-73.83127682668768
Bronx,Eastchester,40.887555677350775,-73.82780644716412,56a2caae498e884198638b9a,Freckle's Juice,Juice Bar,40.88878559548764,-73.83117532757048
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4dabc3dc93a04642f09ccabd,Xing Lung Chinese Restaurant,Chinese Restaurant,40.8887854684858,-73.83122576835156
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4d910b425f33b1f759b9657e,NYCT - Y3 Yard Track(s) (5),Metro Station,40.88710840323387,-73.8316011428833
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4f44d4d419836ed00196d410,Hostess Cakes,Bakery,40.884688,-73.826647
Bronx,Eastchester,40.887555677350775,-73.82780644716412,5a875dd10f013c1435412d77,Mta Mabstoa Bus Bx30 / Bee-Line Route 60 / 61 / 62 At Steenwick Av / Boston Road (Us 1),Bus Stop,40.884599,-73.831357
